Case	Converged	Monotone	Algo12Diff	LastTR	ObjSpeed	ConSpeed
OC_PF5	Fail	Osc	VeryDiff	Small	Alg2Faster	Alg1Faster
OC_PIF0	Both	Osc	Likewise	Small	Alg2Faster	Alg1Faster
OC_PIF1	Both	Osc	Likewise	Small	Alg2Faster	Alg1Faster
OC_PIF2	Both	Osc	Likewise	Small	Alg2Faster	Alg1Faster
OC_PIF3	Both	Osc	Different	Small	Alg2Faster	Alg1Faster
OC_PIF4	Fail	Osc	VeryDiff	Small	Alg1Faster	Alg1Faster
OC_PIF5	Fail	Osc	VeryDiff	Small	Alg2Faster	Alg1Faster
OC_X0	Both	Osc	Identical	Small	Similar	Similar
OC_X1	Both	Osc	Different	Small	Alg2Faster	Alg2Faster
OC_X2	Both	Osc	Identical	Small	Alg2Faster	Alg2Faster
OC_X3	Both	Osc	Identical	Small	Similar	Similar
OC_X4	Both	Osc	Identical	Small	Similar	Similar
OC_XF0	Both	Osc	Identical	Small	Similar	Similar
OC_XF1	Both	Osc	Identical	Small	Similar	Similar
OC_XF2	Both	Osc	Identical	Small	Similar	Similar
OC_XF3	Both	Osc	Identical	Small	Similar	Similar
OC_XF4	Both	Osc	Identical	Small	Similar	Similar
OC_XIF0	Both	Osc	Likewise	Small	Alg2Faster	Alg1Faster
OC_XIF1	Alg2	Osc	VeryDiff	1M2S	Alg2Faster	Alg2Faster
OC_XIF2	Both	Osc	Likewise	Small	Alg2Faster	Alg2Faster
OC_XIF3	Both	Osc	Identical	Small	Alg2Faster	Alg2Faster
OC_XIF4	Both	Osc	Identical	Small	Similar	Similar
OC_XR0	Both	Mono	Identical	Small	Alg2Faster	Alg2Faster
OC_XR1	Both	Mono	Likewise	Small	Alg1Faster	Alg2Faster
OC_XR2	Both	Mono	Identical	Small	Alg1Faster	Alg2Faster
OC_XR3	Both	Mono	Identical	Small	Alg2Faster	Alg2Faster
OC_XR4	Both	Mono	Identical	Small	Alg2Faster	Alg2Faster
OC_XRF0	Both	Mono	Identical	Small	Similar	Similar
OC_XRF1	Both	Mono	Identical	Small	Similar	Similar
OC_XRF2	Both	Mono	Identical	Small	Similar	Similar
OC_XRF3	Both	Mono	Identical	Small	Similar	Similar
OC_XRF4	Both	Mono	Identical	Small	Similar	Similar
OC_XRIF0	Both	Mono	VeryDiff	Small	Alg1Faster	Alg1Faster
OC_XRIF1	Alg2	Mono	VeryDiff	1M2S	Alg1Faster	Alg2Faster
OC_XRIF2	Both	Alg2	Different	Small	Alg1Faster	Alg2Faster
OC_XRIF3	Both	Mono	Different	Small	Alg1Faster	Alg1Faster
OC_XRIF4	Both	Mono	Different	Small	Alg1Faster	Alg1Faster
